activity_id,molregno,chembl_id,full_mwt,canonical_smiles,assay_type,journal,year,volume,issue,first_page,last_page,full_molformula,assay_id,standard_relation,standard_value,standard_units,standard_type,doc_id,description,assay_organism,assay_tissue,assay_cell_type,curated_by,pubmed_id,curated_values,curated_units,curated_cell_line
1663163,334133,CHEMBL200347,319.41,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccccc2)cc1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C20H21N3O,328699,=,2.66,ucm/s,Papp,30510,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663169,334133,CHEMBL200347,319.41,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccccc2)cc1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C20H21N3O,328700,=,3.82,ucm/s,Papp,30510,Permeability from basolateral to apical side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663165,334175,CHEMBL199437,312.44,N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCSC1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C18H20N2OS,328699,=,4.56,ucm/s,Papp,30510,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663171,334175,CHEMBL199437,312.44,N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1CCSC1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C18H20N2OS,328700,=,1.5,ucm/s,Papp,30510,Permeability from basolateral to apical side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663167,334287,CHEMBL199614,337.4,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2)cc1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C20H20FN3O,328699,=,7.21,ucm/s,Papp,30510,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663173,334287,CHEMBL199614,337.4,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2)cc1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C20H20FN3O,328700,=,4.45,ucm/s,Papp,30510,Permeability from basolateral to apical side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663166,334361,CHEMBL199905,355.39,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2F)cc1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C20H19F2N3O,328699,=,4.93,ucm/s,Papp,30510,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663172,334361,CHEMBL199905,355.39,N#C[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(-c2ccc(F)cc2F)cc1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C20H19F2N3O,328700,=,4.93,ucm/s,Papp,30510,Permeability from basolateral to apical side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663164,334513,CHEMBL371757,330.43,N[C@@H](Cc1ccc(-c2ccc(F)cc2)cc1)C(=O)N1CCSC1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C18H19FN2OS,328699,=,16.81,ucm/s,Papp,30510,Permeability from apical to basolateral side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1663170,334513,CHEMBL371757,330.43,N[C@@H](Cc1ccc(-c2ccc(F)cc2)cc1)C(=O)N1CCSC1,A,Bioorg. Med. Chem. Lett.,2006,16,1,123,128,C18H19FN2OS,328700,=,5.61,ucm/s,Papp,30510,Permeability from basolateral to apical side of the Caco-2 cell membrane at 10 uM,Homo sapiens,,Caco-2,Intermediate,16236500,,,
1677980,338202,CHEMBL201232,517.6,CC(C)(C)c1nc(N2CCN(CCCCN3C(=O)CCC(=O)c4ccccc43)CC2)cc(C(F)(F)F)n1,A,Bioorg. Med. Chem. Lett.,2006,16,3,658,662,C27H34F3N5O2,333013,=,0.33,ucm/s,Papp,30653,Permeability across Caco-2 cell membrane,Homo sapiens,,Caco-2,Intermediate,16271293,,,
1665790,63434,CHEMBL296435,277.37,CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21,A,Bioorg. Med. Chem. Lett.,2006,16,2,307,310,C14H23N5O,327634,=,34,ucm/s,Papp,30475,Apical Caco-2 cell membrane permeability,Homo sapiens,,Caco-2,Intermediate,16275071,,,
1665791,63434,CHEMBL296435,277.37,CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21,A,Bioorg. Med. Chem. Lett.,2006,16,2,307,310,C14H23N5O,327635,=,18,ucm/s,Papp,30475,Basolateral Caco-2 cell membrane permeability,Homo sapiens,,Caco-2,Intermediate,16275071,,,
1665764,335280,CHEMBL200906,314.33,CN1C(=O)C(C(=O)Nc2nncs2)c2cc3occc3cc21,A,Bioorg. Med. Chem. Lett.,2006,16,2,307,310,C14H10N4O3S,327634,=,5,ucm/s,Papp,30475,Apical Caco-2 cell membrane permeability,Homo sapiens,,Caco-2,Intermediate,16275071,,,
1665765,335280,CHEMBL200906,314.33,CN1C(=O)C(C(=O)Nc2nncs2)c2cc3occc3cc21,A,Bioorg. Med. Chem. Lett.,2006,16,2,307,310,C14H10N4O3S,327635,=,32,ucm/s,Papp,30475,Basolateral Caco-2 cell membrane permeability,Homo sapiens,,Caco-2,Intermediate,16275071,,,
1665766,335280,CHEMBL200906,314.33,CN1C(=O)C(C(=O)Nc2nncs2)c2cc3occc3cc21,A,Bioorg. Med. Chem. Lett.,2006,16,2,307,310,C14H10N4O3S,327636,=,3,ucm/s,Papp,30475,Apical cell permeability in MDCK cells overexpressing human p-glycoprotein,Homo sapiens,,MDCK,Intermediate,16275071,3,10^-6cm/s,MDCK
1665767,335280,CHEMBL200906,314.33,CN1C(=O)C(C(=O)Nc2nncs2)c2cc3occc3cc21,A,Bioorg. Med. Chem. Lett.,2006,16,2,307,310,C14H10N4O3S,327637,=,4.6,ucm/s,Papp,30475,Basolateral cell permeability in MDCK with MDR transfectant overexpressing human p-glycoprotein,Homo sapiens,,MDCK,Intermediate,16275071,4.6,10^-6cm/s,removed
1675806,336727,CHEMBL201115,468.52,Cc1cn(CCCCN2CCN(c3cc(C(F)(F)F)nc(C(C)(C)C)n3)CC2)c(=O)[nH]c1=O,A,Bioorg. Med. Chem. Lett.,2006,16,3,490,494,C22H31F3N6O2,331695,=,1.94,ucm/s,Papp,30616,Permeability across Caco-2 cell membrane,Homo sapiens,,Caco-2,Intermediate,16290141,,,
1654463,332112,CHEMBL197500,681.63,COC(=O)N[C@H](C(=O)NN(Cc1ccc(Br)cc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,A,J. Med. Chem.,2005,48,25,8098,8102,C34H41BrN4O6,326380,=,42,ucm/s,Papp,30360,Caco-2 cell membrane permeability,Homo sapiens,,Caco-2,Intermediate,16335934,,,
1654451,332134,CHEMBL436755,602.73,COC(=O)N[C@H](C(=O)NN(Cc1ccccc1)C[C@@](O)(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O)C(C)(C)C,A,J. Med. Chem.,2005,48,25,8098,8102,C34H42N4O6,326380,=,35,ucm/s,Papp,30360,Caco-2 cell membrane permeability,Homo sapiens,,Caco-2,Intermediate,16335934,,,
1669044,335876,CHEMBL199836,464.53,COc1ccc2onc(N3CCN(CCCCNC(=O)c4cc(-c5ccco5)[nH]n4)CC3)c2c1,A,J. Med. Chem.,2006,49,1,358,365,C24H28N6O4,329487,=,7.39,ucm/s,Papp,30539,Apparent permeability assessed by Caco-2 layer assay,Homo sapiens,,Caco-2,Intermediate,16392820,,,
1669046,335891,CHEMBL197660,493.61,COc1ccc2onc(N3CCN(CCCCNC(=O)c4ccc(N5CCOCC5)cc4)CC3)c2c1,A,J. Med. Chem.,2006,49,1,358,365,C27H35N5O4,329487,=,36.3,ucm/s,Papp,30539,Apparent permeability assessed by Caco-2 layer assay,Homo sapiens,,Caco-2,Intermediate,16392820,,,
1669045,335892,CHEMBL199329,474.57,COc1ccc2onc(N3CCN(CCCCNC(=O)c4ccc(-n5ccnc5)cc4)CC3)c2c1,A,J. Med. Chem.,2006,49,1,358,365,C26H30N6O3,329487,=,6.56,ucm/s,Papp,30539,Apparent permeability assessed by Caco-2 layer assay,Homo sapiens,,Caco-2,Intermediate,16392820,,,
