smiles,papp,log10_papp,split
Br.CN(C)S(=O)(=O)c1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1,0.1,-1.0,train
Br.COc1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1,2.4,0.38021124171160603,train
Br.CS(=O)(=O)c1ccc(Sc2ccc(F)cc2CSC(=N)N)c(CSC(=N)N)c1,0.1,-1.0,train
Br.Cc1ccc(Sc2ccccc2CSC(=N)N)c(CSC(=N)N)c1,1.5,0.17609125905568124,train
Br.N=C(N)SCc1c(Br)ccc2c1oc1c(CSC(=N)N)c(Br)ccc12,0.2,-0.6989700043360187,train
Br.N=C(N)SCc1c(Br)ccc2c1sc1c(CSC(=N)N)c(Br)ccc12,4.0,0.6020599913279624,train
Br.N=C(N)SCc1c(Cl)ccc2c1oc1c(CSC(=N)N)c(Cl)ccc12,0.1,-1.0,train
Br.N=C(N)SCc1c(F)ccc2c1oc1c(CSC(=N)N)c(F)ccc12,5.0,0.6989700043360189,train
Br.N=C(N)SCc1cc(F)cc2c1sc1c(CSC(=N)N)cc(Cl)cc12,0.5,-0.3010299956639812,train
Br.N=C(N)SCc1cc(F)ccc1Oc1cc(Cl)ccc1CSC(=N)N,0.2,-0.6989700043360187,train
Br.N=C(N)SCc1cc(F)ccc1Oc1cc(F)ccc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1cc(F)ccc1Oc1ccc(F)cc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1cc(F)ccc1Sc1cc(F)c(F)cc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1cc(F)ccc1Sc1ccc(C(F)(F)F)cc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1cc(F)ccc1Sc1ccc(F)cc1CSC(=N)N,0.4,-0.3979400086720376,train
Br.N=C(N)SCc1cc(F)ccc1Sc1ccc([N+](=O)[O-])cc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1cccc2c1-c1c(CSC(=N)N)cccc1-2,0.1,-1.0,train
Br.N=C(N)SCc1cccc2c1C(=O)c1c(CSC(=N)N)cccc1-2,0.4,-0.3979400086720376,test
Br.N=C(N)SCc1cccc2c1oc1c(CSC(=N)N)cccc12,0.1,-1.0,train
Br.N=C(N)SCc1cccc2c1sc1c(CSC(=N)N)c(Br)ccc12,1.3,0.11394335230683679,train
Br.N=C(N)SCc1cccc2c1sc1c(CSC(=N)N)cccc12,0.1,-1.0,train
Br.N=C(N)SCc1ccccc1C(=O)c1cc([N+](=O)[O-])ccc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1ccccc1Oc1ccccc1CSC(=N)N,0.1,-1.0,train
Br.N=C(N)SCc1ccccc1Sc1cc(F)c(F)cc1CSC(=N)N,1.3,0.11394335230683679,train
Br.N=C(N)SCc1ccccc1Sc1cc(F)ccc1CSC(=N)N,0.3,-0.5228787452803376,train
Br.N=C(N)SCc1ccccc1Sc1ccc(F)cc1CSC(=N)N,0.3,-0.5228787452803376,train
Br.N=C(N)SCc1ccccc1Sc1ccccc1CSC(=N)N,0.1,-1.0,train
C#CC(C)(C)N1CCC(CC(=O)NO)(NC(=O)c2ccc(OCc3cc(C)nc4ccccc34)cc2)CC1,3.2,0.505149978319906,train
C#Cc1ccc(NC(=O)c2cnn3c(C)cc(C)nc23)cc1,4.0,0.6020599913279624,test
C#Cc1ccc2c(c1)C(=O)N([C@H](C)c1ccc(Cl)cc1)[C@@H](c1ccc(Cl)cc1)C(=O)N2CCCCC(=O)O,20.9,1.320146286111054,train
C#Cc1cnc2nc(O)n(C(CC)CC)c2n1,50.0,1.6989700043360187,train
C/C(=N\NC(=N)N)c1ccc(NC(=O)Nc2ccc(OC3CCCCCC3)cc2)cc1,0.039,-1.408935392973501,test
C/C(=N\NC(=N)N)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,0.01,-2.0,test
C/C(=N\NC(=N)N)c1sc(-c2ccc(-c3ccccc3)cc2)nc1C,1.2,0.07918124604762482,train
C/C(=N\NC(=N)N)c1sc(-c2ccc(C#CC3CC3)cc2)nc1C,0.05,-1.3010299956639813,test
C/C(=N\NC1=NCCN1)c1cnn(-c2ccc(C#CC3CCCC3)cc2)c1C,0.1,-1.0,test
C/C(=N\NC1=NCCN1)c1sc(-c2ccc(C#CC3CC3)cc2)nc1C,0.13,-0.8860566476931632,test
C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1.75,0.24303804868629444,test
C1=C(c2cccnc2)CCc2ccccc21,14.6,1.1643528557844371,train
C1=C(c2cccnc2)Cc2ccccc21,6.6,0.8195439355418687,train
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,24.8,1.3944516808262162,test
C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,16.0,1.2041199826559248,test
C=C/C(C)=C\C[C@]1(C)[C@H](C)C[C@H](O)[C@@]23C(=C[C@H](OC(=O)CCC)C[C@@H]12)[C@@H](OC(=O)CCC)O[C@H]3OC(C)=O,66.9,1.825426117767823,test
C=C1CC/C=C(/C(=O)O)C[C@H](O)[C@@H]2[C@@H]1CC2(C)C,4.375,0.640978057358332,test
C=C1c2ccccc2C(=O)N(C)c2ccc(O)cc21,20.0,1.3010299956639813,test
C=CC(=O)N1CC2(CC(Nc3ncnc(N)c3-c3ccc(Oc4ccccc4)cc3)C2)C1,9.3,0.9684829485539351,train
